14,,,,vertical_rads_es|horizontal_rads_es|white_rads_es|black_rads_es,1,2,
243,,,,vertical_rads_it|horizontal_rads_it|white_rads_it|black_rads_it,1,4,
14,"Los radiadores verticales caracterizan columnas altas y han sido diseñados para proporcionar calefacción silenciosa, elegante y decorativa. Pueden llegar a tener una altura de hasta 2 metros y por este motivo son ideales para ahorrar espacio ya que su anchura ocupa muy poco espacio horizontal. Pueden ser utilizados en cualquier pared, independientemente de su anchura, sin necesidad de comprometer el rendimiento.
Generan un excelente rendimiento calorífico que asegura calefaccionar cualquier salón, dormitorio, cocina, entrada, baño o pasillo de manera homogénea.
Caracterizan elegantes acabados ya que todos han sido galvanizados con polvo epoxi poliéster para asegurar un acabado liso, suave y satinado. Toda la gama vertical dispone de una gran selección de colores y dimensiones.
Las ventajas de los radiadores verticales son: calefacción decorativa, ahorro de espacio y un excelente rendimiento calorífico.
",Radiadores Verticales,679,,1,2,Radiadores verticales con columnas altas. Calefacción vertical moderna y tradicional de alta calidad para todo el hogar con excelente rendimiento calorífico.
14,"Los radiadores horizontales caracterizan columnas horizontales y por ello pueden ser instalados debajo de cualquier ventana o pared que disponga de un espacio vertical reducido. Este posicionamiento ofrece un look más tradicional.
Aseguran crear un ambiente elegante, agregar un componente decorativo y proporcionar una calefacción silenciosa. Pueden llegar a tener una anchura de hasta 2 metros y son mucho más fáciles de mover, purgar y sustituir ya que el acceso a éstos es mucho más simple.
Generan un excelente rendimiento calorífico que asegura calefaccionar cualquier salón, dormitorio, cocina, entrada, baño o pasillo de manera homogénea. 
Caracterizan elegantes acabados ya que todos han sido galvanizados con polvo epoxi poliéster para asegurar un acabado liso, suave y satinado.
Toda la gama horizontal dispone de una gran selección de colores y dimensiones.
Las ventajas de los radiadores horizontales son: calefacción decorativa, ahorro de espacio y un excelente rendimiento calorífico.
",Radiadores Horizontales,678,,1,2,Radiadores horizontales ahorra espacio. Calefacción horizontal moderna y tradicional de alta calidad para todo el hogar con elevado rendimiento calorífico.
14,"Los radiadores con acabado de color blanco aseguran crear un punto de enfoque en cualquier espacio tradicional o contemporáneo. Los elementos de los modelos con acabado de color blanco agregan un toque decorativo que se integra a nuestra decoración.
Nuestra gran colección incluye una práctica y elegante gama de modelos con fantásticos diseños disponibles en versión vertical o versión horizontal. 
A la vez de garantizar agregar un elemento decorativo, independientemente del espacio disponible, han sido expertamente diseñados para ofrecer una excelente potencia calorífica para calentar el espacio de manera homogénea. Han sido galvanizados con polvo epoxi poliéster de color blanco para asegurar un acabado satinado muy suave.
",Radiadores Blancos,61,,1,2,Radiadores blancos de diseño. Calefacción doméstica moderna de color blanco en acero y aluminio de alta calidad para todo el hogar. Alto rendimiento.
14,"Los radiadores con acabado de color negro aseguran crear un punto de enfoque en cualquier espacio contemporáneo. Los elementos de los modelos con acabado de color negro agregan un toque decorativo moderno que se integra a nuestra decoración, creando un espacio minimalista.
Nuestra gran colección incluye una práctica y elegante gama de modelos con fantásticos diseños disponibles en versión vertical o versión horizontal. 
A la vez de garantizar agregar un elemento decorativo, independientemente del espacio disponible, han sido expertamente diseñados para ofrecer una excelente potencia calorífica para calentar el espacio de manera homogénea. Han sido galvanizados con polvo epoxi poliéster de color negro para asegurar un acabado liso y suave. La gama dispone de modelos con acabado brillante satinado u opaco.
",Radiadores Negros,39,,1,2,Radiadores negros de diseño. Calefacción doméstica moderna de color negro de acero y aluminio de alta calidad para todo el hogar. 
243,"I radiatori in versione verticale si caratterizzano per il design con colonne alte. Questi apparecchi sono stati progettati fornire un riscaldamento silenzioso, elegante e decorativo. La gamma include modelli che possono raggiungere fino ai 2 metri di altezza, risparmiando lo spazio orizzontale e per massimizzare lo spazio verticale.  

Forniscono una elevata resa termica che garantisce il comfort climatico di qualsiasi salotto, camera da letto, cucina, ingresso, bagno o sala da pranzo.

Hanno una verniciatura a polvere epossidica per creare una finitura liscia e satinata. Tutta la gamma verticale è disponibile in una gran varietà di colori e dimensioni perfetti per ogni tipo di ambiente.

I vantaggi dei radiatori verticali sono: riscaldamento decorativo, risparmio dello spazio ed eccellente resa termica.
",Radiatori Verticali,679,,1,4,Radiatori verticali con colonne alte. Riscaldamento domestico verticale moderno e classico di alta qualità per tutta la casa con alta resa termica.
243,"I radiatori orizzontali si caratterizzano per il design con colonne orizzontali. Questo design consente di installare questi modelli sotto qualsiasi finestra o su pareti con spazio verticale  limitato. Il posizionamento orizzontale crea un look più tradizionale.

Questi apparecchi sono stati progettati fornire un riscaldamento silenzioso, elegante e decorativo. La gamma include modelli che possono raggiungere fino ai 2 metri di larghezza, risparmiando lo spazio verticale per massimizzare lo spazio orizzontale. Sono più facili da spurgare e sostituire dovuto al fatto si può accedere a questa versione in modo più semplice.

Forniscono una elevata resa termica che garantisce il comfort climatico di qualsiasi salotto, camera da letto, cucina, ingresso, bagno o sala da pranzo.

I vantaggi dei radiatori orizzontali sono: riscaldamento decorativo, risparmio dello spazio e una eccellente resa termica.
",Radiatori Orizzontali,678,,1,4,"Radiatori orizzontali risparmia spazio. Riscaldamento orizzontale domestico di alta qualità moderno e tradizionale. Bianchi, neri, antracite, grigi.."
243,"I radiatori di design bianchi assicurano creare un punto focale che si integra perfettamente a qualsiasi tipo di ambiente classico o contemporaneo.

La nostra collezione comprende una pratica ed elegante gamma di modelli con fantastici design in versione verticale e versione orizzontale. I radiatori di design bianchi hanno una verniciatura a polvere epossidica per creare una finitura satinata liscia e sono disponibili in diverse dimensioni.

Questa pratica gamma fornisce un elemento decorativo ed offre una elevata resa termica che garantisce il comfort climatico di qualsiasi spazio.
",Radiatori Bianchi,61,,1,4,Radiatori di design bianchi. Riscaldamento domestico moderno e classico in acciaio o alluminio di alta qualità. Fantastica Resa Termica.
243,"I radiatori di design neri assicurano apportare un tocco di classe che si integra perfettamente a qualsiasi tipo di ambiente contemporaneo per creare lusso in qualsiasi abitazione.
 
La nostra collezione comprende una pratica ed elegante gamma di modelli con fantastici design in versione verticale e versione orizzontale. I radiatori di design neri hanno una verniciatura a polvere epossidica per creare una finitura lucida od opaca e sono disponibili in diverse dimensioni.

Questa pratica gamma fornisce un elemento decorativo ed offre una elevata resa termica che garantisce il comfort climatico di qualsiasi spazio.
",Radiatori Neri,39,,1,4,Radiatori di design neri. Riscaldamento domestico moderno in acciaio o alluminio di alta qualità. Fantastica Resa Termica. Finitura satinata e opaca.
